"key","freq","freq_pct"
"woman",33,19.7604790419162
"child",22,13.1736526946108
"gender",18,10.7784431137725
"girl",17,10.1796407185629
"migrant",15,8.98203592814371
"disability",11,6.58682634730539
"age",10,5.98802395209581
"youth",10,5.98802395209581
"race",7,4.19161676646707
"indigenous",6,3.59281437125748
"ethnicity",5,2.9940119760479
"birth",5,2.9940119760479
"sex",4,2.39520958083832
"religion",2,1.19760479041916
"colour",1,0.598802395209581
"language",1,0.598802395209581
"economic",3,NA
"nationality",2,NA
"political",1,NA
